ID;motivo_emp;valor_emp;tx_emp;emp_ativo
504;Quitar outras dividas;14400;10.25;0
505;Investimento;3000;10.25;0
506;Reforma da Casa;10000;10.25;0
507;MEDICO;13650;10.25;0
508;EDUCACAO;14000;10.25;0
509;Investimento;21000;10.25;0
510;PESSOAL;5000;10.25;0
511;MEDICO;20000;10.25;0
512;Investimento;25000;10.25;0
513;Reforma da Casa;16000;10.25;0
514;EDUCACAO;12000;10.25;0
515;Quitar outras dividas;10000;10.25;0
516;Investimento;10000;10.25;0
517;EDUCACAO;3000;10.28;0
518;EDUCACAO;3200;10.28;0
519;Investimento;3500;10.28;0
520;MEDICO;4800;10.28;0
521;EDUCACAO;6500;10.28;0
522;Quitar outras dividas;4650;10.28;1
523;MEDICO;3500;10.28;0
524;Investimento;8500;10.28;1
525;EDUCACAO;10000;10.28;1
526;Investimento;6000;10.28;0
527;Reforma da Casa;12000;10.28;0
528;EDUCACAO;15000;10.28;0
529;EDUCACAO;8500;10.28;1
530;MEDICO;3500;10.28;0
531;MEDICO;900;10.28;1
532;Investimento;3600;10.28;0
533;EDUCACAO;4900;10.28;1
534;Reforma da Casa;7000;10.28;0
535;MEDICO;4275;10.28;0
536;EDUCACAO;15000;10.28;0
537;Reforma da Casa;7000;10.28;0
538;Quitar outras dividas;10000;10.28;0
539;PESSOAL;3000;10.28;0
540;EDUCACAO;4000;10.33;0
541;PESSOAL;3000;10.33;0
542;EDUCACAO;5000;10.33;0
543;Quitar outras dividas;6000;10.33;0
544;Investimento;14000;10.33;0
545;MEDICO;6600;10.33;0
546;PESSOAL;7500;10.33;0
547;Quitar outras dividas;7500;10.33;0
548;Investimento;7500;10.33;0
549;Investimento;25000;10.36;1
550;MEDICO;25000;10.36;1
551;Quitar outras dividas;25000;10.36;1
552;PESSOAL;25000;10.36;0
553;EDUCACAO;25000;10.36;0
554;Reforma da Casa;1000;10.36;0
555;PESSOAL;2000;10.36;0
556;PESSOAL;1000;10.36;0
557;Reforma da Casa;1000;10.36;0
558;MEDICO;1500;10.36;0
559;Quitar outras dividas;1600;10.36;1
560;Reforma da Casa;2000;10.36;0
561;MEDICO;2400;10.36;0
562;PESSOAL;3000;10.36;1
563;Investimento;10500;10.36;0
564;PESSOAL;6000;10.36;0
565;EDUCACAO;7000;10.36;1
566;Quitar outras dividas;8000;10.36;1
567;Quitar outras dividas;4000;10.36;0
568;Quitar outras dividas;4000;10.36;0
569;MEDICO;4000;10.36;0
570;Investimento;4000;10.36;0
571;Quitar outras dividas;4800;10.36;0
572;EDUCACAO;9800;10.36;0
573;Investimento;3500;10.36;0
574;MEDICO;5000;10.36;0
575;EDUCACAO;5000;10.36;0
576;Investimento;2000;10.36;0
577;MEDICO;10000;10.36;0
578;EDUCACAO;5500;10.36;1
579;EDUCACAO;6000;10.36;0
580;Investimento;10000;10.36;0
581;Investimento;10000;10.36;0
582;MEDICO;7000;10.36;0
583;Quitar outras dividas;2400;10.36;0
584;PESSOAL;6400;10.36;0
585;Investimento;6400;10.36;0
586;EDUCACAO;7400;10.36;0
587;PESSOAL;2000;10.36;0
588;EDUCACAO;10000;10.36;0
589;Investimento;8000;10.36;0
590;PESSOAL;8000;10.36;0
591;Quitar outras dividas;8000;10.36;0
592;MEDICO;3000;10.36;0
593;Reforma da Casa;20000;10.36;0
594;EDUCACAO;10000;10.36;1
595;Quitar outras dividas;10000;10.36;0
596;Reforma da Casa;10000;10.36;1
597;MEDICO;10000;10.36;0
598;Investimento;1000;10.36;0
599;PESSOAL;1750;10.36;0
600;PESSOAL;11200;10.36;0
601;PESSOAL;12000;10.36;1
602;EDUCACAO;25000;10.36;0
603;Reforma da Casa;25000;10.36;0
604;Investimento;12000;10.36;0
605;Quitar outras dividas;12000;10.36;0
606;Investimento;25000;10.36;0
607;MEDICO;25000;10.36;0
608;Investimento;10000;10.36;0
609;Reforma da Casa;12000;10.36;0
610;MEDICO;10000;10.36;0
611;Quitar outras dividas;12000;10.36;0
612;MEDICO;4800;10.36;0
613;EDUCACAO;8000;10.36;0
614;EDUCACAO;25000;10.36;0
615;MEDICO;12000;10.36;0
616;Reforma da Casa;5000;10.36;1
617;Investimento;9800;10.36;0
618;PESSOAL;3000;10.36;0
619;PESSOAL;14500;10.36;1
620;EDUCACAO;2000;10.36;0
621;Investimento;12000;10.36;0
622;EDUCACAO;12000;10.36;0
623;Reforma da Casa;25000;10.36;0
624;Quitar outras dividas;14000;10.36;0
625;Reforma da Casa;15125;10.36;0
626;PESSOAL;3500;10.36;0
627;Investimento;1000;10.36;0
628;EDUCACAO;8000;10.36;0
629;Quitar outras dividas;10000;10.36;0
630;EDUCACAO;3000;10.36;1
631;Investimento;14500;10.36;1
632;Investimento;9800;10.36;0
633;MEDICO;25000;10.36;1
634;Investimento;3000;10.36;0
635;MEDICO;7000;10.36;0
636;Investimento;10000;10.36;0
637;Reforma da Casa;5500;10.36;1
638;Reforma da Casa;25000;10.36;0
639;PESSOAL;1000;10.36;0
640;EDUCACAO;1500;10.36;0
641;PESSOAL;2000;10.36;0
642;PESSOAL;2400;10.36;0
643;Investimento;2500;10.36;0
644;EDUCACAO;3000;10.36;0
645;Reforma da Casa;12000;10.36;0
646;Reforma da Casa;12000;10.36;0
647;Quitar outras dividas;3000;10.36;0
648;Investimento;3250;10.36;1
649;PESSOAL;9000;10.36;1
650;Reforma da Casa;5500;10.36;0
651;MEDICO;11000;10.36;0
652;Reforma da Casa;4800;10.36;0
653;PESSOAL;13000;10.36;0
654;Investimento;9500;10.36;0
655;MEDICO;4500;10.36;0
656;PESSOAL;4800;10.36;0
657;Investimento;7000;10.36;0
658;Investimento;5000;10.36;0
659;MEDICO;5000;10.36;0
660;MEDICO;5000;10.36;0
661;Quitar outras dividas;5000;10.36;0
662;Quitar outras dividas;5000;10.36;0
663;Reforma da Casa;9000;10.36;0
664;Investimento;8000;10.36;0
665;Investimento;9600;10.36;0
666;PESSOAL;5500;10.36;0
667;MEDICO;6000;10.36;0
668;Quitar outras dividas;1400;10.36;0
669;Investimento;3000;10.36;0
670;Quitar outras dividas;6000;10.36;0
671;Quitar outras dividas;6000;10.36;0
672;MEDICO;7800;10.36;0
673;EDUCACAO;9250;10.36;0
674;PESSOAL;5000;10.36;1
675;EDUCACAO;7000;10.36;0
676;Quitar outras dividas;7200;10.36;0
677;EDUCACAO;10000;10.36;0
678;Investimento;14000;10.36;0
679;MEDICO;6000;10.36;0
680;Investimento;25000;10.36;0
681;Reforma da Casa;2250;10.36;0
682;Investimento;10000;10.36;0
683;Reforma da Casa;10000;10.36;0
684;Investimento;4000;10.36;0
685;MEDICO;11200;10.36;1
686;EDUCACAO;10800;10.36;0
687;Investimento;4000;10.36;0
688;Investimento;11500;10.36;1
689;Investimento;11500;10.36;1
690;PESSOAL;12000;10.36;1
691;EDUCACAO;12000;10.36;1
796;EDUCACAO;9600;10.37;1
797;Investimento;13250;10.37;0
798;Quitar outras dividas;9600;10.37;0
799;EDUCACAO;6000;10.37;0
800;Reforma da Casa;12150;10.37;0
801;Quitar outras dividas;10000;10.37;1
802;Investimento;9750;10.37;0
803;Investimento;10000;10.37;0
804;Quitar outras dividas;10000;10.37;1
805;EDUCACAO;10000;10.37;1
806;PESSOAL;10000;10.37;0
807;Quitar outras dividas;10000;10.37;0
808;EDUCACAO;10000;10.37;0
809;Investimento;6300;10.37;0
810;MEDICO;12000;10.37;0
811;PESSOAL;4200;10.37;0
812;Investimento;16000;10.37;0
813;EDUCACAO;10000;10.37;0
814;MEDICO;10000;10.37;0
815;PESSOAL;10000;10.37;1
816;Quitar outras dividas;11050;10.37;0
817;Investimento;10000;10.37;0
818;MEDICO;10000;10.37;0
819;PESSOAL;10000;10.37;0
820;Quitar outras dividas;20000;10.37;0
821;Investimento;11425;10.37;0
822;EDUCACAO;1500;10.37;0
823;EDUCACAO;12000;10.37;1
824;Quitar outras dividas;11300;10.37;0
825;PESSOAL;12000;10.37;0
826;Reforma da Casa;15000;10.37;0
827;MEDICO;12000;10.37;0
828;MEDICO;12000;10.37;0
829;MEDICO;12000;10.37;0
830;Investimento;20000;10.37;0
831;PESSOAL;9600;10.37;0
832;Reforma da Casa;3000;10.37;1
833;Investimento;12000;10.37;0
834;PESSOAL;12000;10.37;0
835;Investimento;12000;10.37;0
836;Investimento;12250;10.37;1
837;Investimento;2800;10.37;0
838;Quitar outras dividas;2800;10.37;0
839;MEDICO;12500;10.37;0
840;MEDICO;19000;10.37;0
841;Investimento;15000;10.37;0
842;EDUCACAO;14000;10.37;0
843;Investimento;14000;10.37;0
844;EDUCACAO;6000;10.37;0
845;Reforma da Casa;6400;10.37;0
846;MEDICO;14400;10.37;0
847;Reforma da Casa;14400;10.37;0
848;Investimento;2000;10.37;0
849;EDUCACAO;6500;10.37;0
850;PESSOAL;18000;10.37;0
851;Reforma da Casa;10000;10.37;0
852;Quitar outras dividas;15000;10.37;1
853;Quitar outras dividas;15000;10.37;0
854;PESSOAL;15000;10.37;0
855;PESSOAL;15000;10.37;1
856;PESSOAL;10000;10.37;0
857;Quitar outras dividas;16000;10.37;0
858;EDUCACAO;15000;10.37;0
859;Reforma da Casa;15000;10.37;0
860;MEDICO;15000;10.37;0
861;MEDICO;15000;10.37;0
862;MEDICO;12000;10.37;0
863;MEDICO;25000;10.37;0
864;EDUCACAO;21600;10.37;0
865;Reforma da Casa;20000;10.37;0
866;EDUCACAO;15000;10.37;0
867;EDUCACAO;1200;10.37;0
868;EDUCACAO;16000;10.37;0
869;Reforma da Casa;4000;10.37;0
870;MEDICO;10000;10.37;1
871;Quitar outras dividas;13250;10.37;0
872;Investimento;20000;10.37;0
873;Reforma da Casa;25000;10.37;0
874;Quitar outras dividas;3000;10.37;0
875;MEDICO;10000;10.37;0
876;EDUCACAO;14000;10.37;1
877;EDUCACAO;2500;10.37;0
878;PESSOAL;4000;10.37;0
879;Investimento;2500;10.37;0
880;EDUCACAO;6500;10.37;0
881;Reforma da Casa;12000;10.37;0
882;EDUCACAO;8000;10.37;0
883;Reforma da Casa;12150;10.37;0
884;Quitar outras dividas;1500;10.37;0
885;Reforma da Casa;20000;10.37;0
886;Quitar outras dividas;5550;10.37;1
887;PESSOAL;8000;10.37;0
888;PESSOAL;25000;10.37;0
889;PESSOAL;21000;10.37;1
890;Reforma da Casa;20000;10.37;1
891;PESSOAL;8000;10.37;0
892;Quitar outras dividas;1000;10.37;0
893;Quitar outras dividas;15000;10.37;0
894;MEDICO;2000;10.37;0
895;MEDICO;2150;10.37;0
896;MEDICO;2500;10.37;0
897;MEDICO;3000;10.37;1
898;Quitar outras dividas;3000;10.37;0
899;Investimento;12000;10.37;0
900;EDUCACAO;3300;10.37;0
901;Quitar outras dividas;3500;10.37;0
902;EDUCACAO;10400;10.37;0
903;Investimento;10000;10.37;0
904;MEDICO;2400;10.37;0
905;PESSOAL;4000;10.37;1
906;Investimento;12375;10.37;0
907;Reforma da Casa;1425;10.37;0
908;PESSOAL;4000;10.37;0
909;Quitar outras dividas;4750;10.37;0
910;MEDICO;4800;10.37;0
911;PESSOAL;4800;10.37;0
912;PESSOAL;4975;10.37;0
913;EDUCACAO;5000;10.37;0
914;EDUCACAO;5000;10.37;0
915;Quitar outras dividas;4450;10.37;0
916;Investimento;5000;10.37;0
917;Quitar outras dividas;5600;10.37;0
918;MEDICO;5600;10.37;0
919;Reforma da Casa;5800;10.37;0
920;Investimento;3600;10.37;0
921;MEDICO;6000;10.37;1
922;PESSOAL;8000;10.37;0
923;Quitar outras dividas;6000;10.37;0
924;MEDICO;10200;10.37;0
925;EDUCACAO;9000;10.37;0
926;Reforma da Casa;6000;10.37;0
927;MEDICO;7200;10.37;0
928;Investimento;6700;10.37;0
929;Investimento;6400;10.37;1
930;Quitar outras dividas;7000;10.37;0
931;MEDICO;7000;10.37;0
932;EDUCACAO;4200;10.37;0
933;MEDICO;7500;10.37;1
934;Reforma da Casa;5100;10.37;0
935;Reforma da Casa;5000;10.37;1
936;MEDICO;1200;10.37;0
937;EDUCACAO;8000;10.37;0
938;Investimento;9000;10.37;0
939;Quitar outras dividas;10000;10.37;1
940;PESSOAL;10000;10.37;1
941;MEDICO;10000;10.37;1
942;EDUCACAO;16950;10.37;0
943;MEDICO;12000;10.37;0
944;PESSOAL;10000;10.37;0
945;MEDICO;12000;10.37;0
946;Reforma da Casa;4500;10.37;0
947;Quitar outras dividas;2750;10.37;0
948;MEDICO;9500;10.37;0
949;Quitar outras dividas;13000;10.37;0
950;Reforma da Casa;14125;10.37;1
951;PESSOAL;3000;10.37;0
952;MEDICO;10000;10.37;0
953;Investimento;12000;10.37;0
954;Quitar outras dividas;18000;10.37;0
955;EDUCACAO;20000;10.37;0
956;EDUCACAO;8000;10.37;0
957;PESSOAL;1600;10.37;0
958;EDUCACAO;6450;10.37;0
959;MEDICO;15000;10.37;0
960;MEDICO;15000;10.37;0
961;Quitar outras dividas;4000;10.37;0
962;PESSOAL;4000;10.37;0
963;Quitar outras dividas;10000;10.37;1
964;Quitar outras dividas;8500;10.37;0
965;MEDICO;35000;10.37;0
