ID;idade;renda_ano;moradia;anos_trabalho_atual;dados_contato;anos_hist_credito
32367;58;20000;aluguel;0;0;30
32360;58;27000;aluguel;0;1;21
32339;58;33600;aluguel;6;0;28
32352;58;39996;aluguel;2;0;27
32342;58;43500;aluguel;4;1;21
32390;58;45000;FINANCIADA;3;0;20
32393;58;45600;FINANCIADA;20;0;25
32429;58;49000;FINANCIADA;34;1;24
32346;58;51252;aluguel;0;0;21
32460;58;68000;FINANCIADA;1;0;29
32375;58;72000;aluguel;5;0;18
32571;58;72000;aluguel;5;0;23
32491;58;85000;FINANCIADA;0;0;28
32496;58;100000;aluguel;6;0;30
32513;58;100000;FINANCIADA;6;0;19
32303;58;108350;aluguel;5;0;19
32545;58;780000;FINANCIADA;7;0;20
32552;58;780000;FINANCIADA;7;0;19
32299;58;900000;aluguel;18;0;28
32311;57;15000;FINANCIADA;1;0;23
32353;57;15840;aluguel;2;0;20
32350;57;26400;aluguel;2;0;18
32519;57;40000;aluguel;1;0;20
32566;57;40000;aluguel;1;0;21
32355;57;45600;aluguel;21;0;20
32422;57;53000;FINANCIADA;1;1;30
32577;57;53000;FINANCIADA;1;0;30
32389;57;56650;aluguel;1;0;24
32451;57;62004;FINANCIADA;13;1;24
32448;57;64000;aluguel;20;0;19
32419;57;70000;aluguel;0;0;21
32421;57;77385;aluguel;4;0;29
32561;57;77385;aluguel;4;0;27
32416;57;170000;aluguel;5;0;26
32409;56;19200;aluguel;0;0;19
32454;56;32400;aluguel;;0;18
32471;56;59200;aluguel;1;1;20
32431;56;65000;aluguel;7;0;24
32463;56;70000;FINANCIADA;17;0;23
32465;56;70000;FINANCIADA;7;0;20
32559;56;70000;FINANCIADA;7;0;24
32468;56;71884;propria;11;0;22
32551;56;71884;propria;11;0;24
32500;56;90000;FINANCIADA;0;0;21
32574;56;90000;FINANCIADA;0;0;19
32510;56;95004;FINANCIADA;6;0;20
32381;56;150000;aluguel;7;0;20
32538;56;150000;FINANCIADA;5;0;28
32580;56;150000;FINANCIADA;5;0;26
32368;55;24543;aluguel;3;1;27
32518;55;28800;propria;1;0;22
32484;55;34000;aluguel;0;0;30
32348;55;39000;aluguel;2;0;27
32397;55;48000;aluguel;1;0;22
32321;55;50000;aluguel;2;0;30
32557;55;50000;aluguel;2;0;28
32440;55;51000;aluguel;2;0;26
32336;55;54000;aluguel;4;0;27
32400;55;54000;aluguel;20;0;24
32446;55;60900;FINANCIADA;5;0;20
32325;55;75000;aluguel;2;0;23
32475;55;75000;FINANCIADA;6;1;18
32476;55;75000;FINANCIADA;3;0;20
32488;55;78000;FINANCIADA;2;0;29
32501;55;91154;FINANCIADA;15;0;28
32505;55;94000;FINANCIADA;11;0;26
32511;55;97243;FINANCIADA;10;0;30
32530;55;123000;FINANCIADA;3;0;26
32532;55;125000;FINANCIADA;9;0;18
32443;54;20000;aluguel;2;1;19
32554;54;20000;aluguel;2;0;28
32430;54;22880;aluguel;6;0;22
32343;54;29000;FINANCIADA;7;0;24
32549;54;29000;FINANCIADA;7;0;28
32334;54;33600;aluguel;0;0;29
32370;54;39000;FINANCIADA;4;0;19
32402;54;48000;propria;20;0;20
32320;54;50000;aluguel;14;0;20
32414;54;52000;FINANCIADA;5;0;26
32308;54;53700;aluguel;1;1;28
32455;54;65000;FINANCIADA;4;0;20
32317;54;77000;aluguel;24;0;21
32482;54;79864;FINANCIADA;5;0;21
32508;54;95000;FINANCIADA;3;0;26
32512;54;97800;FINANCIADA;11;1;20
32380;54;107000;aluguel;27;0;20
32526;54;120000;FINANCIADA;4;0;20
32578;54;120000;FINANCIADA;4;0;19
32531;54;125000;FINANCIADA;13;0;24
32534;54;129000;FINANCIADA;6;0;18
32562;54;129000;FINANCIADA;6;0;24
32539;54;154000;FINANCIADA;1;0;26
32541;54;170000;FINANCIADA;12;0;20
32548;53;4888;propria;0;1;28
32371;53;24000;aluguel;5;0;23
32444;53;24000;aluguel;0;1;27
32349;53;26400;aluguel;3;0;28
32425;53;28000;aluguel;2;0;26
32358;53;34000;FINANCIADA;0;0;30
32369;53;40000;aluguel;6;1;22
32464;53;43200;aluguel;0;0;30
32398;53;45000;aluguel;0;1;22
32565;53;45000;aluguel;0;0;28
32394;53;46000;propria;9;0;28
32550;53;46000;propria;9;0;23
32406;53;50004;FINANCIADA;16;0;18
32472;53;54000;aluguel;;1;27
32457;53;55000;aluguel;1;0;26
32373;53;60000;aluguel;0;0;29
32316;53;70000;aluguel;6;0;20
32477;53;75000;FINANCIADA;4;0;19
32483;53;80000;propria;8;0;24
32302;53;85000;aluguel;19;0;19
32450;53;85000;aluguel;2;0;28
32568;53;85000;aluguel;2;0;26
32392;53;88000;aluguel;0;0;25
32502;53;92000;FINANCIADA;7;0;22
32509;53;95000;propria;24;0;30
32497;53;105000;aluguel;1;0;23
32516;53;106000;FINANCIADA;38;0;23
32408;53;110000;aluguel;3;0;23
32345;53;138000;aluguel;4;0;21
32305;53;304800;aluguel;6;0;29
32338;52;15000;aluguel;3;0;20
32328;52;22500;FINANCIADA;2;0;21
32445;52;25000;aluguel;23;1;22
29212;49;142800;FINANCIADA;3;0;14
31823;49;150000;FINANCIADA;0;0;16
30936;48;12000;aluguel;4;0;14
29490;48;15000;aluguel;4;1;14
29244;48;16800;propria;0;0;14
29286;48;19200;propria;1;1;12
31950;48;19200;propria;1;0;16
29494;48;19632;aluguel;19;1;12
31173;48;20400;aluguel;4;0;12
29462;48;28000;FINANCIADA;7;0;16
32045;48;28000;FINANCIADA;7;0;17
29447;48;29004;aluguel;6;0;15
31261;48;29120;aluguel;0;1;14
29506;48;30000;FINANCIADA;21;0;14
30189;48;30000;aluguel;0;0;12
31573;48;30000;propria;0;1;12
32061;48;30000;FINANCIADA;21;0;16
30031;48;31824;aluguel;18;0;11
30574;48;32000;aluguel;4;0;14
29589;48;32304;FINANCIADA;22;0;17
29520;48;32500;aluguel;0;0;16
29455;48;33500;aluguel;1;0;11
29689;48;35004;FINANCIADA;14;0;13
29708;48;36000;propria;24;0;15
29979;48;36655;FINANCIADA;;0;16
30164;48;39000;aluguel;7;0;15
29301;48;39915;aluguel;15;0;12
30726;48;40000;aluguel;2;0;13
30911;48;40000;aluguel;3;0;17
29986;48;41500;aluguel;3;0;16
31983;48;41500;aluguel;3;0;14
30183;48;42000;FINANCIADA;3;1;17
30168;48;44000;aluguel;6;0;13
30254;48;49000;aluguel;2;1;11
30034;48;50000;aluguel;1;0;12
30988;48;50000;aluguel;18;0;14
29828;48;50004;aluguel;8;0;11
30305;48;50016;Outros;1;0;11
30399;48;54000;FINANCIADA;1;0;16
30467;48;55000;FINANCIADA;7;1;11
31122;48;55000;aluguel;9;0;16
30486;48;56000;FINANCIADA;7;0;14
30729;48;56500;FINANCIADA;9;0;11
30324;48;57996;aluguel;2;1;12
30262;48;59000;aluguel;2;0;12
30605;48;60000;FINANCIADA;8;0;17
30614;48;60000;FINANCIADA;0;0;11
32101;48;60000;FINANCIADA;0;0;13
31491;48;62000;aluguel;10;0;12
31232;48;64430;FINANCIADA;14;1;12
30278;48;66000;aluguel;6;0;11
30831;48;66000;FINANCIADA;5;0;11
32276;48;66000;aluguel;6;0;16
30843;48;66948;FINANCIADA;1;0;12
30901;48;70000;FINANCIADA;2;0;11
30915;48;70000;FINANCIADA;31;0;17
29414;48;71004;aluguel;5;0;17
30995;48;72000;FINANCIADA;5;1;17
31009;48;73000;FINANCIADA;14;0;12
31209;48;80000;FINANCIADA;0;0;11
29376;48;82500;aluguel;4;0;16
31306;48;83000;aluguel;2;0;17
31124;48;83500;aluguel;7;0;14
31288;48;85000;FINANCIADA;0;0;13
29397;48;92000;aluguel;6;0;15
29908;48;92000;aluguel;1;0;17
31567;48;94050;FINANCIADA;1;1;16
31519;48;100000;FINANCIADA;3;0;11
31601;48;110000;FINANCIADA;6;0;14
31663;48;120000;FINANCIADA;18;1;17
32263;48;120000;FINANCIADA;18;0;16
30533;48;128000;aluguel;0;1;11
29271;48;130000;aluguel;2;0;15
31763;48;140000;FINANCIADA;4;0;11
32181;48;140000;FINANCIADA;4;0;12
31873;48;185000;FINANCIADA;2;0;14
29164;48;228000;FINANCIADA;0;0;13
29148;47;12000;propria;;0;12
29270;47;18000;FINANCIADA;;0;12
29351;47;18000;aluguel;0;1;16
29491;47;18000;aluguel;4;0;11
32039;47;18000;aluguel;4;0;11
32049;47;18000;FINANCIADA;;0;13
30664;47;21000;aluguel;9;1;16
29377;47;24000;FINANCIADA;4;1;16
31683;47;25000;propria;2;1;16
31176;47;27000;aluguel;2;0;12
29947;47;28500;aluguel;2;0;15
29548;47;30000;propria;1;0;17
29599;47;30000;aluguel;6;1;16
29604;47;30000;aluguel;2;0;11
30581;47;30000;aluguel;5;0;11
30359;47;31400;aluguel;1;0;16
29617;47;33600;FINANCIADA;12;0;12
29624;47;33888;FINANCIADA;5;0;13
29679;47;35000;propria;9;0;12
29756;47;37000;FINANCIADA;6;0;13
32003;47;37000;FINANCIADA;6;0;15
29279;47;38400;aluguel;3;1;17
29815;47;39000;FINANCIADA;5;0;11
29879;47;40000;FINANCIADA;0;0;11
30914;47;41000;aluguel;2;0;16
30004;47;43200;FINANCIADA;8;1;13
30018;47;44000;propria;3;0;16
30625;47;44004;aluguel;2;0;11
31998;47;44004;aluguel;2;0;15
30033;47;45000;propria;10;0;12
30125;47;47000;FINANCIADA;9;0;12
32240;47;47000;FINANCIADA;9;0;13
29576;47;48000;aluguel;14;1;17
30181;47;48000;FINANCIADA;13;0;12
31935;47;48000;aluguel;14;1;17
30253;47;50000;FINANCIADA;3;1;12
32164;47;50000;FINANCIADA;3;1;17
30300;47;50004;FINANCIADA;22;0;15
29629;47;52000;aluguel;5;0;14
30247;47;52000;aluguel;3;0;16
30345;47;52000;FINANCIADA;4;0;16
30364;47;52000;propria;2;0;12
32081;47;52000;FINANCIADA;4;0;13
32095;47;52000;aluguel;3;0;14
30393;47;53808;FINANCIADA;4;0;17
32157;47;53808;FINANCIADA;4;0;16
30413;47;54000;FINANCIADA;1;0;11
30422;47;54996;FINANCIADA;7;0;16
29194;47;55250;aluguel;9;1;13
29742;47;56004;aluguel;2;0;11
30826;47;59827;FINANCIADA;9;0;15
31048;47;64200;aluguel;1;0;14
29672;47;65000;aluguel;1;1;12
30793;47;65000;FINANCIADA;21;0;11
30814;47;65000;aluguel;2;0;14
31270;47;65000;aluguel;9;0;17
31963;47;65000;aluguel;1;0;16
32026;47;65000;FINANCIADA;21;0;17
30887;47;69000;FINANCIADA;19;0;12
30016;47;70000;aluguel;2;0;14
30284;47;70000;aluguel;3;0;12
29583;47;72000;aluguel;5;0;11
31086;47;75000;Outros;1;0;11
31788;47;75000;aluguel;3;1;17
31129;47;77533;FINANCIADA;19;0;14
31155;47;79500;FINANCIADA;0;0;13
31933;47;79500;FINANCIADA;0;0;14
31195;47;80000;FINANCIADA;2;0;13
31218;47;80004;FINANCIADA;5;0;15
31290;47;85000;FINANCIADA;5;0;12
31299;47;85000;FINANCIADA;3;0;15
30023;47;86000;aluguel;0;0;13
31315;47;86500;FINANCIADA;13;0;17
31324;47;87000;FINANCIADA;15;0;11
29221;47;90000;aluguel;1;1;17
31410;47;92000;propria;0;0;12
31112;47;93000;aluguel;1;0;16
31425;47;95000;FINANCIADA;13;0;16
31508;47;100000;FINANCIADA;4;0;15
32201;47;100000;FINANCIADA;4;0;16
31580;47;109000;propria;15;0;14
31527;47;119000;aluguel;5;0;16
31665;47;120000;FINANCIADA;9;0;12
29926;47;126000;aluguel;1;0;17
29928;47;140000;aluguel;4;1;13
31837;47;156000;FINANCIADA;5;0;17
29240;47;165000;FINANCIADA;2;0;16
31857;47;168000;FINANCIADA;13;0;12
31867;47;178000;propria;31;0;17
31876;47;187000;FINANCIADA;5;0;16
31886;47;204000;FINANCIADA;6;1;13
30026;47;244000;aluguel;10;0;11
29144;47;305000;FINANCIADA;6;1;12
31923;47;1362000;FINANCIADA;9;0;17
31928;46;8088;aluguel;15;1;11
31695;46;17496;aluguel;6;0;13
30652;46;27600;aluguel;1;0;11
29497;46;29004;FINANCIADA;4;0;11
29537;46;30000;FINANCIADA;13;0;14
30863;46;30000;aluguel;15;0;12
29817;46;33099;FINANCIADA;2;0;14
29421;46;35000;aluguel;1;0;12
29861;46;35004;aluguel;0;0;13
31625;46;39000;aluguel;2;0;12
29862;46;40000;FINANCIADA;8;0;11
29893;46;40452;propria;4;0;17
30030;46;44782;FINANCIADA;14;1;12
30055;46;45000;FINANCIADA;7;0;16
30134;46;47000;FINANCIADA;5;0;15
31944;46;47000;FINANCIADA;5;0;14
30149;46;47844;propria;16;0;13
30190;46;48000;FINANCIADA;0;0;17
30743;46;48000;aluguel;1;0;16
31380;46;48956;aluguel;0;0;13
32179;46;48956;aluguel;0;0;14
29846;46;50000;aluguel;0;0;15
32031;46;50000;aluguel;0;0;16
30301;46;50004;FINANCIADA;5;0;13
30333;46;51600;FINANCIADA;16;0;17
30377;46;52800;FINANCIADA;1;0;14
31019;46;54000;aluguel;8;0;15
30414;46;54196;FINANCIADA;17;0;14
29762;46;54250;aluguel;3;0;14
30426;46;55000;FINANCIADA;3;0;14
30448;46;55000;FINANCIADA;3;0;11
30488;46;56000;FINANCIADA;1;0;16
32279;46;56000;FINANCIADA;1;0;13
29639;46;56500;aluguel;4;0;14
29366;45;48500;aluguel;7;1;15
30429;45;49000;propria;5;1;11
29627;45;50400;aluguel;2;1;13
30318;45;51000;FINANCIADA;2;0;12
29460;45;52000;aluguel;0;0;13
30360;45;52000;FINANCIADA;11;0;16
30861;45;52569;FINANCIADA;0;0;12
31431;45;52680;aluguel;0;0;15
30328;45;54000;aluguel;3;0;16
30639;45;54000;FINANCIADA;1;0;13
31909;45;54000;aluguel;1;0;17
30251;45;54981;aluguel;2;0;17
29633;45;55000;aluguel;17;0;12
29833;45;55000;aluguel;1;0;12
30699;45;56000;FINANCIADA;8;1;12
30557;45;59000;FINANCIADA;5;0;16
29180;45;60000;aluguel;4;0;16
32272;45;60000;aluguel;4;0;14
30688;45;61000;FINANCIADA;2;0;11
30690;45;61000;propria;7;1;17
31044;45;62200;aluguel;6;0;11
30732;45;63000;FINANCIADA;8;0;13
30753;45;64000;FINANCIADA;3;0;14
30900;45;64000;FINANCIADA;8;0;17
32284;45;64000;FINANCIADA;3;0;12
30827;45;65993;FINANCIADA;3;0;15
31456;45;66000;aluguel;4;0;11
31143;45;68000;aluguel;13;0;17
30891;45;69600;propria;11;0;13
32058;45;69600;propria;11;0;12
30935;45;70000;FINANCIADA;15;0;12
30156;45;73000;aluguel;0;0;11
29465;45;74600;aluguel;2;0;13
31038;45;75000;FINANCIADA;7;0;17
31089;45;75000;FINANCIADA;2;0;12
29125;45;80000;aluguel;10;0;13
29214;45;82800;aluguel;4;1;14
29165;45;85000;aluguel;0;1;15
30712;45;87000;aluguel;8;1;15
31814;45;88000;aluguel;12;1;12
31897;45;89000;aluguel;5;0;12
31361;45;90000;FINANCIADA;3;0;13
31497;45;100000;FINANCIADA;16;0;16
31611;45;100000;FINANCIADA;3;1;13
29911;45;107473;aluguel;0;1;11
31595;45;110000;FINANCIADA;5;0;16
31627;45;115000;FINANCIADA;8;0;11
31646;45;118000;FINANCIADA;15;0;12
31735;45;118000;FINANCIADA;11;1;12
31649;45;118560;FINANCIADA;1;0;15
31651;45;119004;FINANCIADA;13;0;13
32097;45;119004;FINANCIADA;13;0;13
31518;45;123000;aluguel;2;0;17
31704;45;125000;FINANCIADA;0;0;14
31715;45;125000;FINANCIADA;14;0;12
31515;45;125004;aluguel;7;0;12
31721;45;126000;FINANCIADA;5;0;12
31760;45;139380;propria;4;0;12
30728;45;140000;aluguel;10;0;17
31761;45;140000;FINANCIADA;9;0;15
31766;45;140000;FINANCIADA;18;0;17
29211;45;180000;FINANCIADA;8;0;11
29176;45;210000;FINANCIADA;14;0;12
29169;45;225000;aluguel;14;0;12
29171;45;225000;FINANCIADA;9;1;11
29159;44;12000;propria;5;0;11
29433;44;17112;aluguel;;0;14
29370;44;24000;FINANCIADA;;1;13
29382;44;24000;propria;5;1;15
30842;44;24300;aluguel;0;0;15
29502;44;25209;aluguel;6;1;13
30676;44;26400;aluguel;0;0;11
29429;44;26500;FINANCIADA;5;0;16
29471;44;27000;aluguel;5;0;15
29461;44;28000;propria;0;0;12
30567;44;28000;aluguel;15;0;11
30465;44;29088;aluguel;3;0;17
29713;44;30000;FINANCIADA;7;0;15
29950;44;30000;aluguel;6;0;11
31180;44;30000;aluguel;2;0;15
31182;44;30000;aluguel;0;0;11
31571;44;30000;propria;3;0;11
29557;44;30160;FINANCIADA;4;0;16
29802;44;32004;aluguel;4;0;13
29739;44;35000;aluguel;4;0;12
29863;44;35000;aluguel;3;1;11
29399;44;36000;aluguel;0;0;13
29714;44;36000;FINANCIADA;1;0;12
29719;44;36000;FINANCIADA;6;0;14
29724;44;36000;FINANCIADA;0;0;15
29808;44;36000;aluguel;6;0;12
31308;44;36000;propria;5;0;11
31934;44;36000;FINANCIADA;6;0;17
29700;44;37000;aluguel;0;1;13
32044;44;37000;aluguel;0;0;13
29794;44;38400;FINANCIADA;4;0;12
29801;44;38400;FINANCIADA;9;0;17
32241;44;38400;FINANCIADA;4;0;11
31234;44;39000;aluguel;2;0;15
30216;44;39684;aluguel;4;0;15
29843;44;40000;FINANCIADA;8;0;13
30563;43;25000;aluguel;6;0;17
31457;43;27036;aluguel;1;1;15
29453;43;28000;FINANCIADA;4;1;13
29495;43;29004;propria;3;0;11
31167;43;30000;aluguel;0;1;17
30394;43;32000;aluguel;0;0;16
30196;43;33000;aluguel;0;0;14
30317;43;33500;aluguel;4;0;17
29634;43;34000;FINANCIADA;4;0;17
30395;43;35000;aluguel;;0;14
29694;43;35300;FINANCIADA;5;0;13
29701;43;36000;FINANCIADA;5;0;17
29757;43;36000;aluguel;4;0;14
29930;43;36000;FINANCIADA;;0;16
30764;43;36000;aluguel;0;0;17
30892;43;36000;aluguel;1;0;11
32050;43;36000;aluguel;0;0;14
29362;43;36480;aluguel;0;0;16
29809;43;39000;FINANCIADA;12;0;16
29812;43;39996;aluguel;1;0;11
29880;43;40000;FINANCIADA;3;0;15
29909;43;41000;FINANCIADA;7;1;16
29936;43;42000;FINANCIADA;0;0;16
29954;43;42000;FINANCIADA;3;0;13
30434;43;42000;aluguel;4;1;16
29992;43;43000;FINANCIADA;5;0;12
32233;43;43000;FINANCIADA;5;0;15
30015;43;44000;FINANCIADA;8;0;14
30019;43;44000;propria;18;0;15
30056;43;45000;FINANCIADA;3;0;11
30059;43;45000;propria;;0;17
30442;43;45000;aluguel;2;0;14
30444;43;45000;aluguel;5;0;12
31231;43;45000;aluguel;0;0;12
30102;43;45996;FINANCIADA;2;0;14
29612;43;46000;aluguel;5;0;17
30051;43;46000;aluguel;3;0;14
31430;43;46000;aluguel;2;0;13
31936;43;46000;aluguel;3;0;15
32098;43;46000;aluguel;2;1;15
30135;43;47000;propria;2;0;16
31647;43;47840;aluguel;27;0;12
30130;43;48000;aluguel;1;0;17
30157;43;48000;FINANCIADA;2;0;17
30169;43;48000;FINANCIADA;7;0;14
30235;43;48000;aluguel;1;0;13
30211;43;49578;FINANCIADA;11;1;13
29364;43;50000;aluguel;6;0;16
29867;43;50000;aluguel;0;0;16
30246;43;50000;FINANCIADA;12;0;16
30249;43;50000;FINANCIADA;2;0;16
30255;43;50000;propria;3;1;12
30256;43;50000;FINANCIADA;11;0;12
30617;43;50000;aluguel;;0;16
30621;43;50000;aluguel;3;1;17
30807;43;50000;aluguel;5;0;15
31976;43;50000;FINANCIADA;11;0;11
29459;43;51600;aluguel;;0;11
32265;43;51600;aluguel;;0;12
29642;43;54000;aluguel;0;0;14
30010;43;54000;aluguel;0;1;16
30752;43;54000;aluguel;0;0;14
32217;43;54000;aluguel;0;1;14
30428;43;55000;FINANCIADA;14;0;17
30468;43;55000;propria;17;0;11
31171;43;55000;aluguel;3;0;17
32082;43;55000;FINANCIADA;14;0;11
32089;43;55000;aluguel;3;0;16
30260;43;57000;aluguel;3;0;13
30504;43;57000;FINANCIADA;0;0;12
30550;43;58000;FINANCIADA;4;1;14
30820;43;59004;FINANCIADA;13;1;13
29523;43;60000;aluguel;5;0;17
30602;43;60000;FINANCIADA;3;0;11
30620;43;60000;FINANCIADA;2;0;17
30640;43;60000;aluguel;1;0;16
30647;43;60000;FINANCIADA;27;0;16
30671;43;60000;FINANCIADA;6;0;13
31059;43;60000;aluguel;2;1;15
30851;43;61000;FINANCIADA;3;1;17
30707;43;62000;FINANCIADA;11;0;14
30709;43;62000;FINANCIADA;2;0;14
29373;43;62900;aluguel;22;1;14
30755;43;64000;FINANCIADA;6;0;17
30073;43;65000;aluguel;2;0;16
30774;43;65000;propria;4;0;13
30775;43;65000;FINANCIADA;17;0;17
30777;43;65000;FINANCIADA;27;0;17
30799;43;65000;FINANCIADA;2;0;13
29872;43;67000;aluguel;0;0;13
30867;43;68000;propria;9;0;15
30870;43;68000;FINANCIADA;2;0;11
31030;43;68400;FINANCIADA;9;0;16
29525;43;69000;aluguel;0;0;17
31891;43;69996;aluguel;18;0;11
29731;43;70000;aluguel;23;0;16
30081;43;71015;aluguel;8;0;14
29281;43;72000;aluguel;11;0;11
30290;43;72000;aluguel;5;0;17
30974;43;72000;FINANCIADA;9;0;16
30996;43;72000;FINANCIADA;9;0;11
30292;43;72600;aluguel;2;0;15
31004;43;72800;FINANCIADA;7;1;12
29142;43;74000;aluguel;2;0;17
31016;43;74000;FINANCIADA;5;0;15
31294;43;75000;aluguel;0;0;16
31099;43;76000;FINANCIADA;4;1;16
31113;43;77000;FINANCIADA;3;0;16
32066;43;78000;FINANCIADA;0;1;13
31153;43;79000;FINANCIADA;3;0;12
30402;43;80000;aluguel;5;0;11
31087;43;80000;aluguel;5;0;12
31175;43;80000;FINANCIADA;3;0;17
31178;43;80000;FINANCIADA;20;0;15
31184;43;80000;FINANCIADA;3;0;16
31246;43;83000;FINANCIADA;13;0;17
31262;43;84000;FINANCIADA;0;0;16
29527;43;85000;aluguel;2;0;14
30022;43;85000;aluguel;14;0;11
31307;43;86004;FINANCIADA;2;0;14
31310;43;86015;FINANCIADA;3;0;16
31311;43;86044;FINANCIADA;16;0;13
29379;43;90000;aluguel;9;0;12
29758;43;90000;aluguel;5;0;14
31372;43;90000;FINANCIADA;0;1;11
31672;43;91800;FINANCIADA;0;0;14
31412;43;93000;FINANCIADA;7;0;13
31559;43;93000;FINANCIADA;15;1;15
31467;43;97000;FINANCIADA;0;0;13
31460;42;67300;aluguel;4;0;16
30048;42;68000;aluguel;3;0;12
30871;42;68000;FINANCIADA;2;0;17
29248;42;68850;aluguel;8;0;14
31067;42;69228;aluguel;3;0;13
30894;42;69996;FINANCIADA;1;0;12
30912;42;70000;FINANCIADA;19;0;12
30948;42;70000;FINANCIADA;3;0;17
31275;42;70000;aluguel;6;0;12
32199;42;70000;aluguel;6;0;17
30967;42;72000;FINANCIADA;20;0;11
30989;42;72000;FINANCIADA;25;0;13
31336;42;73100;aluguel;4;1;13
31025;42;74000;FINANCIADA;1;0;16
31026;42;74000;FINANCIADA;7;0;12
29389;42;75000;aluguel;6;0;15
31056;42;75000;FINANCIADA;2;0;11
31503;42;75000;aluguel;12;0;14
32220;42;75000;aluguel;6;0;13
31304;42;75744;aluguel;2;1;12
31134;42;78000;FINANCIADA;6;0;11
31145;42;78000;FINANCIADA;4;1;13
31373;42;78000;FINANCIADA;;0;15
32083;42;78000;FINANCIADA;6;0;12
31146;42;78456;FINANCIADA;5;0;16
31174;42;80000;FINANCIADA;3;0;14
31181;42;80000;FINANCIADA;8;0;17
29282;42;82000;aluguel;6;0;12
31235;42;82000;FINANCIADA;13;1;15
31305;42;82000;aluguel;10;1;13
31402;42;82500;aluguel;3;0;11
30162;42;85000;aluguel;3;1;15
31285;42;85000;FINANCIADA;10;1;12
31940;42;85000;aluguel;3;1;14
31454;42;96000;FINANCIADA;9;0;14
31465;42;97000;FINANCIADA;13;1;16
30344;42;97600;aluguel;0;0;13
31480;42;98000;FINANCIADA;2;0;11
31729;42;98603;FINANCIADA;19;0;14
